drug_name,batch_number,manufacturer,reason_for_recall
KT Kids Cleansing Shampoo Soothes the scalp 200 ML,KTK0012,"CCIGMAA LIFESTYLE Pvt LTD. 12 ACO-OP 2 nd Floor,Plot No 1 Compound No.I Marol Co-Operative Indl Estate,Morshi R Andheri(E) Mumbai 400059",The Sample Does Not Comply With Is 17117:2019 (Reaffirmed 2024) For Hair Shampoo For Babies Specification Req(Jirements For Micribial Count. The Sample Is Misbranded for the Manner of Labelling As Given Rule 34(10) (e) and rule 35 of cosmetics rule 2020.
Diabetis-All Powder,A-1,"Dr. Puri Proprietory Product, At Post:-Jaigaon, Tal Sinnar, Dist -Nashik, Sinnar.",The Sample gives TLC and HPLC [dentification Test for the Presence of Pioglitazone Hydrochloride. lFound Content of Pioglitazone Hydrochloride: 0.32mg/gm. The Sample is declared as Spurious Vide Section 33-EEA(d) of Drugs And Cosmetics Act 1940 and Rules thereunder.
Hajmola Regular,BM1250,"Dabur India Ltd., Village Manakpur, Tehsil-Baddi, Distt.-Solan, Himachal Pradesh-174101","Total 120 Tablets received for analysis,out of 120 Tablets, 13 Tablets are found in broken condition and some powder is found in container when observed in normal day light with unaided eyes."
Ramipril Tablets IP 5mg,R25183701K,"Reltsen Healthcare, Spl. Plot No 9-11, PIPDIC Electronic Park, Thirubuvanai, Puducherry - 605107",Ramipril (64.20%)
Roller Bandage Non Sterilized,RC13,"Mohan Pharma B-5/2, Industrial Estate, Suryapet - 508 214 Telangana.","The Sample Does not conform to schedule F-II with respect to Description, Threads per dm (Warp) Length & Width."
Drotaverine Hydrochloride & Diclofenac Potassium Tablets,KFCR6023,"Cris Pharma (India) Ltd. E-11, UPSIDC, Industrial Area, Selaqui, Dehradun-248011 (U.K.)",Identification - Doesn't conforms to I.P.
Dexamethasone Tablets IP 0.5 mg,KJKBH25134,"Cadila Pharmaceuticals Ltd. Industrial Growth Center, Sidco, Samba 184121, State J & K",Dissolution
Sodium Chloride Injection IP 0.9%w/v,G2604H025,"MKA Remedies Pvt. Ltd,Village- Narsohi, Pargana Khairabad, Police Station- Shahmaholi, Sitapur-261131 UP",The sample does not conforms to I.P. 2022 with respect to the test for Particulate contamination.
Metronidazole Infusion B.P. 0.5% w/v,L04A032607,"Althea Pharma Pvt. Ltd.,Plot No. 374, Shed E, Alpha Industrial Park, Athiawad, Dabhel, Nani Daman, Daman (U.T) 396210, INDIA",The sample does not comply as per B.P. 2025 with respect to the test for Sterility.
Paracetamol Tablets IP 500mg,CHT-50351,"Cotec Healthcare Pvt. Ltd.,NH. No. 74, Roorkee-Dehradun Highway, Kishanpur, Roorkee - 247667 (Uttarakhand)",The sample does not comply as per I.P. 2022 with respect to the test for Dissolution of Paracetamol.
Oxytocin Injection IP 5IU/ml,I-7881,"Jackson Laboratories Pvt.Ltd,22-24, Majitha Road, Bye Pass, Amritsar-143 001(India)",The sample does not conform to claim as per IP 2022 in respect to the Test of Identification by HPLC and Particulate Matter
Bupropion Hydrochloride Prolonged Release Tablets IP,LGT-260293,"Live Well Healthcare,Plot No.: 80-A-I, EPIP, Phase-1, Jharmajri, Baddi , Distt. Solan- 173205 (H.P.)","The sample does not conform to claim as per IP 2022 in respect to the Test of Identification by HPLC, Identification by IR and Assay of Bupropion Hydrochloride."
"Racecadotril Capsules IP 100mg,",C042604,"Swefn Pharmaceuticals Pvt. Ltd.,7, Sopan Kesar Industrial Hub, Vil. Moraiya, Tal. Sanand, Dist. Ahmedabad- 382213.",The sample does not conform to claim as per IP 2022 in respect to Assay of Racecadotril.
Telmisartan Tablets IP 20 mg,HT250167,"MEDICAMEN Biotech Ltd.,86-87, Sec-6A, IIE, SIDCUL, Haridwar-249403 (Uttarakhand)",The sample received does not conform to the I.P. 2022 standard with respect to the test for Dissolution.
Sodium Bicarbonate Tablets I.P. 1000 mg,T-2509202,"Rivpra Formulation Pvt. Ltd,(WHO-GMP Certified Company) Plot No. 8, Sector-6A, I.I.E., SIDCUL, Haridwar-249 403 (Uttarakhand), INDIA",The sample does not conform to I.P (Addendum 2024) with respect to the Test of Disintegration
Cypermethion 10% High Cis,9023,"Mac Royal Biotech Baddi Road, Nalagarh Distt. Solan (H.P)",Assay for Cypermethrin highcis
METHOTREXATE TABLETS IP 7.5 MG,L09-2402,"Macmillon Pharmaceuticals Pvt Ltd., 62-663, Vijay Nagar, Batala. Road, Amritsar-143001.",Description
Paracet amol Tablets IP 500 mg,CTF2 5007,"Curetech Formulations Pvt. Ltd., DVill: Juddi Kalan, Baddi-173205, Distt Solan",Dissolution Test
Rabepra zole Gastro Resistant Tablets IP 20 mg,T-2611 36,"Merril Pharma Pvt. Ltd., Plot No. 212, Raipur, Bhagwanpur, Roorkee-247667 (UK)",Dissolution Test
Paracet amol Tablets IP 650 mg,YT-250671E,"Yuventis Life Sciences, Promoted by Medvexl, Plot No.7 & Ext. Phase Ill, HPSIDC, Baddi, Dist Solan",Dissolution Test
Pantopr azole Gastro Resistant Tablets IP20 mg,CIT-8736,"Conscaff India, Nahan Road, Kala-Amb, Dist!. Sirmour (HP) 173030",Dissolution Test
Ciprofloxacin Hydrochloride Tablets IP 250mg,T50540,"Zenith Drugs Ltd., 72/5 & 72/3,72/4,74/1/1,75/1/1 Muradpura (Orangpura),Dhar Road,Near Kalaria,Indore 453001( MP), INDIA",The sample does not conform to I.P. w.r.to the tests for Dissolution
Paracetamol Tablets IP 650mg,T60095,"Zenith Drugs Ltd. 72/5 & 72/3,72/4,74/1/1,75/1/1 Muradpura (Orangpura),Dhar Road,Near Kalaria,Indore 453001( MP), INDIA",The sample does not conform to I.P. w.r.to the tests for Dissolution
Ferrous Ascorbate & Folic Acid Tablets IP,LTA-45315A,"Life Vision Healthcare , Plot No.140-141,E.P.I.P.,Phase-1, Jharmajri,Baddi,Dist-Solan, HP-174103",The sample does not conform to I.P. w.r.to the tests for Assay
Paracetamol Tablets IP 650mg.,AGT40557,"Alventa Pharma Ltd., Vill-Kishanpura,Baddi-Nalagarh Road,Tehsil Baddi, Dist-Solan ,(HP)-174101",The sample does not conform to I.P. w.r.to the tests for Dissolution
Cefixime Dispersible Tablets IP,DB240368,"Daxin Pharmaceuticals Pvt. Ltd. Plot No. 121-122 EPIP, Jharmajri Phase-I, The. Baddi, Solan (HP)174103",The sample does not conform to I.P. w.r.to the tests for Assay
Amoxycillin & Potassium Clavulanate Tablets IP,KT25030,"Orbit Lifescience Pvt. Ltd., AT, BaldaIndl. Park, Plot No.- 10/C & 11/C, Survey No.-256/P-1, Vill. BaddiTaluka-Pardi, Distt. Valsad-396125.",The sample does not conform to I.P. w.r.to the tests for Dissolution and Assay of Clavulanic Acid
Amoxycillin & Potassium Clavulanate Tablets IP,VT251527,"VADSP Pharmaceuticals, Plot No-124, E.P.I.P.Ind. Area, Phase-1, Jharmajri, Baddi (HP)174103",The sample does not conform to I.P. w.r.to the tests for Dissolution and Assay of Clavulanic Acid
Bisacodyl Tablets IP 5mg,8676,"Healthy Life Pharma Pvt. Ltd., Factory: N-31/1, M.I.D.C., Tarapur, Boiser, Dist. Palghar-401506, INDIA",The sample does not conform to I.P. w.r.to the tests for Assay
Buprenorphine 2 mg and Naloxone 0.5 mg Sublingual Tablets IP,25CT0314,"Consern Pharna Ltd., Focal Point ,VPO Tibba, Distt. Ludhiana-141120 (Pb.), INDIA",The sample is of not of standard quality for the reason stated under Description
Albendazole Tablets IP 400mg,MT251013,"Mancare Laboratories Pvt.Ltd., Plot No 11 Pharmacity Selaqui Dehradun Uttarakhand",Dissolution
Sodium Bicarbonat Tablets USP 500mg,25087,"Steadfast edishield Pvt. Ltd., At Kh. No- 322 Nanhera Anantpur Bhagwanpur Roorkee Dist- Haridwar UK- 247668",Misbranding
Glipizide Tablets IP,SPA252473,"Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee-247667.",Does not conform to IP Standards with respect to Dissolution Test
Aceclofenac & Paracetamol Tablets,T2601006/A,"Empree Medicament India Pvt. Ltd ,99, C&D, KIADB Indl. Estate, Honaga, Belgaum - 591156",Does not conform to IP Standards with respect to Dissolution Test
Glimepiride Tablets IP 4mg,T2512152,"Rivpra Formulation Pvt. Ltd; Plot No. 8, Sector 6A, I.I.E., Sidcul, Haridwar - 249403 (U.K.)",Does not conform to IP Standards with respect to Dissolution Test
Atorvastatin and Clopidogrel Tablets,PGT25-3110A,"Plena Remedies, Plot No. 17, Industrial Area (Himuda), Bhatkoli, Kalan, Baddi, Distt. Solan (H.P.)- 173205.",Does not conform to required standards with respect to the test Assay
Amoxycillin Oral Suspension IP,AMS2532,"Modern Laboratories., 45-47, Sector D-2, Industrial Area, Sanwer Road, Indore-452015. India.",Content of Amoxycillin.
ZEDCORIL EXPECTORANT,64,"Lexine Technochem Pvt. Ltd., Plot No. 373, Opp. Ramakaka Deri, Chhani, Vadodara-391740. Gujarat",Content of Salbutamol
Deomax-LB (Amoxycillin. Cloxaeillin & Lactic Acid Closacillin & Lacne Acd Bacillus Capsules,JPC-3100,"JMH Pharma. Plot No. Is Handwar Road 82. Handwar Road, Bhagwanpur. Uttarakhand",The sample does not pass the Assay of Anhy drous Amoxycillin & Cloxacillin per capsule is 10.86 mg & 67.73 mg against the claimed 250 mg.
R-Zara DSR Capsules,SC-08656,"Samay Pharma India Pvt. Ltd. Plot No 34-35 Industrial Area. Trilokpur Road, Kala Amb, District Sirmour, Himachal Pradesh 173030",The sample does not pass the following test Assay Rabeprazole Sodium per capsule is 0.0 mg against claim of 20mg and Domperidone per capsule is 0.0mg against claim of 30mg.
Sodium chloride injection IP 0.9% w/v,(N)25567,"klokter Lifesciences private Ltd., Samora indri road , Karnal 132041",Fail in Assay
Iron n& Folic Acid Tablets I?,QT1572,"Quest Laboratories Ltd. Plot No. 45, Sector-III, Pithampur, Dist. Dhar-454775 (M.P)",The sample does not conform to claim as per IP in respect to test for Description
Oral Rehydration salts IP(ORS),CHPLO- 002,"Cureza Healthcare Pvt. Ltd. 63/1, 67/1 Dharampuri Solsindha. Tehsil Sanwar Ujjain Roasd, Indore-453551",The sample does not conform to claim as per IP in respect to test for Description
Aceclofenac Sustained Release and Enteric Coated Rabeprazole Sodium Capsules,C50200B,"Samson Laboratories Pvt. Ltd.,(WHO-GMP Certified Company) 152, Sansiwala, Barotiwala, Distt. Solan (H.P.) - 174103.",The sample received does not conform to manufacturers specification with respect to the test for Assay of rabeprazole sodium content only.
Ondansetron Tablets IP 4 mg,TB251158,"Agron Remedies Pvt. Ltd.,Sarverkhera, Moradabad Road, Kashipur 244713","The sample received does not conform to i.p. 2022, ip addendum 2024 specification with respect to the test for related substances (total impurities) only."
Telmisartan & Hydrochlorothiazide Tablets IP,AMT-2460,"Avalon Medicines Private Limited,Plot No-1271, Phase I, Sector 38, HSIIDC, Rai Sonipat-131029 (HR)",The sample received does not conform to i.p. 2022 specification with respect to the test for Dissolution of hydrochlorothiazide only.
Methylprednisolone Tablets I.P.,NHD24554A,"Nest Healthcare Pvt. Ltd,Plot No. 300 GIDC, Odhav, Ahmedabad-382 415, Gujarat, India",The sample does not conform to IP with respect to the test for Dissolution
Metformin Hydrochloride Prolonged-Released and Glimepiride Tablets IP,60002727,"USV Private Limited,Plot No. 538 to 540, 597 to 618, 619 to 625, GIDC Indl. Area-Savli, Taluka-Savli, Manjusar, Vadodara - 391 775.",The sample does not conform to claim as per Manufacture's Specification with respect to the test for Dissolution of Metformin Hydrochloride.
Amoxycillin & Cloxacillin Capsules,ZABG2611,"Malik Lifesciences Pvt. Ltd,Plot No. 16, Vardhman Indl.Estate, Vill-Bahadarpur Saini, N.H. 58, Haridwar-247 667 (Uttarakhand)",The sample does not conform to Manufacture's Specification with respect to the test for Assay of Amoxycillin Trihydrate eq. to Amoxycillin and Cloxacillin Sodium equivalent to Cloxacillin and Dissolution Cloxacillin Sodium equivalent to Cloxacillin
Sodium chloride injection IP 0.9% w/v,(N)25479,"klokter Lifesciences private Ltd., Samora indri road , Karnal 132041",Fail in Assay
"Glimepiride, Ploglitazonehci & Metformin HCI (SR) Tablets",DPT-016,"Demexico Pharmaceuticals Pvt. Ltd., F-48, Selaqui, Industrial area Dehradun (UK)-243011",The sample has been declared as NSQ as it does not conform to label claim with respect to Assay for Metformin Hydrochloride and Pioglitazone
Ondansetron Orally Disntagrating Tablets IP,SPT252281,"Salus Pharmaceutical, 480/211 Harraipur, PO Gurumajra, Tehsil Baddi Dist. Solan HP-173205",The sample has been declared as NSQ as it does not conform to IP standard with respect to Test for Disintegration
Phenytoi Tablets IP 100mg,T-4710,"Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001",The sample has been declared as NSQ quality with respect to Description.
ASPIRIN GASTRO- RESISTANT TABLETS I.P. 75 MG,CBT-0254,Crossasia Biotech Pvt. Ltd. Survery No. 488 A.B. Road Girwai industrial Area Beldarpura Gwalior 474002 (M.P),Description test for Salicylic Acid Assay for Aspirin and test for Dissolution
"Calcium citarate malate, Vitamain k2 -7 , Vitamin D3, methylcobalamin Zinc and Magnesium Tablets",25KHT-0857,"Kaalimga Healthcare 1st Floor, kh No. 386/76/2 vill. Juddi kalan baddi, Distt. Solan (H.P)- 173205",test for Disintegration and label claim woth respect to the Identification and Assay for Vitamin D3
Gliclazide Extended release Tablets 60 mg,T511617,ION Healthcare Pvt. Ltd.Baddi- Barotiwala Road Baddi Distt. Solan (H.P) 173205,test for Dissolution for Gliclazide at 4th hour and 12th hour as per Manufacturer's method
"Milk of Magnesia, Liquid Paraffin & Sodium Picosulfate Suspension",UF2834807B,"Ultra Durgs Formulations Pvt. Ltd. Plot no. 338/278,Vill.Manakpur, Lodhimajra,Tehsil -Baddi, Distt. Solan (H.P) 173205",Description only
Acctaminophen Oral suspension I.P. 125 mg,HL76,"Azine Healthcare Pvt.ltd Plot no. 401 , GIDC Kerala, Bavla-382220, Dist. Ahmedabad (Gujrat)",Description and Assay for Paracetamol
Soflgel Capsules Ferrous ascorbate Folic Acid &Zinc Soft Getatin Capsules,CD-251244B,"Capsoft Healthcare Pvt. Ltd. (An ISO & GMP Certified Company )Shed No. 6, Khasra No. 760-761 Klralsa Complex , Village kanuma ,Sai Road Baddi ,Solan- 173205 (H/P)","Description & Disintegration test ""and does not conform to label claim with respect to "" Assay for folic Acid"
Culse The Beauty soap papaya Fruit Mix,CT06,"Goodbuy Beauty Prohtets Door no. 13/515 A , 13/515B, Uppuparai Thottam,Madlukkarai Coimbatore-641105",Test for Matter Insolubic in Alcohol
Calcium and Vitamin D3 Tablets IP 500mg/250 I.U,PJCT-016,"Laborate Pharmaceuticals India Ltd. 31 Rajban Road nariwala, Paonta Sahib (H.P)",Assay for Vitamin D3
Methylcobalamin Alpha Lipoic Acid Pyridoxine HCL Folic Acid &Vitamin D3 Tablets,LC25F031C,"Life care Neuro Products Ltd. 70/1, dharampur, EPIP Phase-II , Baddi-173205 (H.P.)",Disintegration test
Omerprazole Capsules I.P 20 mg.,OPZDC4059,"Laborate Pharmaceutical India Ltd. 111, Yamuna nagar Road Satiwala, Panota Sahib, District Simnaur -173205 (H.P)",Test for Dissolution for Omeprazole both at Acid and Buffer Stage
Oral Rehydration Salts I.P,ODSC-1010,"Nestor Pharmaceuticals Ltd., 11-Western Extension Area, Faridabad-121001, India",Sample does not conform to IP standards. It fails the test Assay as per IP and hence declared as Not of Standard Quality
Nicoz-5 Nicorandil Tablets IP 5 mg,NBT-251045,"A.N.D Healthcare Ltd., Plot No. C-42, Focal Point, Kurali, Mohali-140103",Sample does not conform to IP Standards. If fails the test 'Dissolution' and 'Assay'
Paracetamol Tablets IP 500 mg,PAK-825,"Healer's Lab Unit II, Plot No. 33, H.P.S.I.D.C Extn.Baddi, Distt Solan (HP)",The sample does not conform to the IP standards with respect to the test for Dissolution
Mefenamic Acid & Paracetamol Tablets,T-252174,"Merril Pharma Pvt.Ltd, Plot No. 212, Raipur, Bhagwanpur, Roorkee-247667(UK)",The sample does not conform to Schedule V of the Drugs Rule 1945 with respect to the test disintegration.
Pantoprazole Tablets IP,AGW01AKA,"Pure & Cure Healthcare Pvt. Ltd, Plot No. 26A,27-30, Sector-8A, I.I.E, SIDCUL, Ranipur, Haridwar-249403, Uttarakhand",The sample does not conform to IP standards. It fails the test Dissolution.
Omeprazole Gastro-resistant Capsules IP 20 mg,GC108503,"Bengal Chemicals & Pharmaceuticals Ltd., Kh.No. 105-106, Vill Katha, Baddi-173205(H.P), India",The sample does not conform to IP standards with respect to the test for Dissolution.
Diclofenac Sodium Tablets IP 50 mg,DG 5033,"Kerala State Drugs Pharmaceuticals Ltd., Kalavoor P.O., Alappuzha,Kerala-688522",The sample does not conform to IP standards with respect to the test Dissolution and also shows Category B defect of tablets (Capping).
Paracetamol Paediatric Syrup IP 60 ml,PCS25194,"Vivek Pharmachem(India) Ltd, NH-8, Chimanpura, Amer, Jaipur-302 028","The sample does not conform to IP standards. It fails the test Microbial Examination of Non- Sterile Product as per IP, as specified in the Laboratory protocol."
Telmisartan Tablets IP 40 mg,493TTF004,"Swiss Garnier Life Sciences, No. 21-23, Industrial Area, Mehatpur, Dist. UNA, Himachal Pradesh-174315, India",The sample does not conform to IP standards. If fails the test Dissolution as per IP
Telmisartan Tablets IP 40 mg,493TTF014,"Swiss Garnier Life Sciences, No. 21-23, Industrial Area, Mehatpur, Dist. UNA, Himachal Pradesh-174315, India",The sample does not conform to IP standards. It fails the test Dissolution as per IP
Ferrous Ascorbate & Folic Acid Tablets IP,FAM-677,"Healer's Lab Unit II Plot NO. 33, H.P.S.I.D.C. , Extn. Baddi, Distt. Solan (H.P)",NSQ
Ferrous Ascorbate & Folic Acid Tablets IP,FAM-656,"Healer's Lab Unit II Plot NO. 33, H.P.S.I.D.C. , Extn. Baddi, Distt. Solan (H.P)",NSQ
Ferrous Ascorbate & Folic Acid Tablets IP,FAM-629,"Healer's Lab Unit II Plot NO. 33, H.P.S.I.D.C. , Extn. Baddi, Distt. Solan (H.P)",NSQ
Ferrous Ascorbate & Folic Acid Tablets IP,FAM-649,"Healer's Lab Unit II Plot NO. 33, H.P.S.I.D.C. , Extn. Baddi, Distt. Solan (H.P)",NSQ
Ferrous Ascorbate & Folic Acid Tablets IP,FAM-628,"Healer's Lab Unit II Plot NO. 33, H.P.S.I.D.C. , Extn. Baddi, Distt. Solan (H.P)",NSQ
Cetin Plus Suspension 60ml,GL027412,Asian Pharma Khasra No. 105-106 village Katha Baddi 173205 HP,NSQ
Paracetamol Tablets IP 650 mg,UT-3765,"Yacca Pharmaceutical Pvt. Ltd. 11 th Km, stone, Dehradun Road, Roorkee-247667(U.K.)",Dissolution test
Flexon Suspension,DPK241894,"Aristo Pharmaceuticals Pvt. Ltd. Survey No. 371, Kunwar Falia, Village: Dabhel, Nani Daman-396210 Daman (U.T.)",Suspension does not dispose uniformaly on shaking
Pacimol MF 250 Suspension,INCO14030R,"Ipca Laboratory Ltd. Sejavta, Ratlam 457001 MP",Suspension does not dispose uniformaly on shaking
Pacimol MF 250 Suspension,INCO14035R,"Ipca Laboratory Ltd. Sejavta, Ratlam 457001 MP",Suspension does not dispose uniformaly on shaking
KUFFTUSS-Q Tablets,IGT-0511,IG Pharma Ltd. 12.4 KM Meerut Road Roorkee Dist. Haridwar (U.K.),Mottled appeareance
Amoxyclllin CapsulesIP 250mg,MBC-111,Mayasha Lifesciences H.B. 86 Village Bhatian Nalagarh Dist. Solan HP 174101,The sample fails to comply in respect of contains of the drug which is less than the calim
